N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
128,LS ELECTRIC,"54,900",0,0.00%,"5,000","16,470","30,000",13.85,0,16.94,7.82,
129,한올바이오파마,"31,500",0,0.00%,500,"16,456","52,241",6.53,0,76.64,14.90,
130,한솔케미칼,"145,500",0,0.00%,"5,000","16,434","11,295",33.60,0,15.81,20.88,
131,효성,"77,000",0,0.00%,"5,000","16,225","21,071",5.36,0,59.41,4.25,
132,메리츠화재,"14,200",0,0.00%,500,"16,143","113,680",11.38,0,4.59,12.80,
133,현대엘리베이,"40,100",0,0.00%,"5,000","16,120","40,199",22.99,0,27.71,5.22,
134,만도,"34,300",0,0.00%,"1,000","16,106","46,957",21.37,0,-38.89,7.55,
135,DB하이텍,"35,300",0,0.00%,"5,000","15,673","44,399",29.64,0,9.67,17.40,
136,현대백화점,"66,400",0,0.00%,"5,000","15,539","23,402",16.05,0,12.28,4.64,
137,F&F,"100,000",0,0.00%,500,"15,400","15,400",11.76,0,14.98,25.13,
138,한국테크놀로지그룹,"16,400",0,0.00%,500,"15,255","93,020",6.04,0,12.14,4.71,
139,KODEX 삼성그룹,"7,560",0,0.00%,0,"15,022","198,700",0.02,0,N/A,N/A,
140,LG생활건강우,"710,000",0,0.00%,"5,000","14,908","2,100",87.50,0,16.19,N/A,
141,대웅,"25,600",0,0.00%,500,"14,884","58,142",7.09,0,32.00,10.43,
142,KODEX 종합채권(AA-이상)액티브,"110,980",0,0.00%,0,"14,362","12,941",0.00,0,N/A,N/A,
143,KCC,"161,500",0,0.00%,"5,000","14,352","8,886",13.03,0,-681.43,-4.37,
144,NHN,"73,000",0,0.00%,500,"14,282","19,565",11.28,0,55.60,0.78,
145,OCI,"59,500",0,0.00%,"5,000","14,190","23,849",16.67,0,-1.75,-26.20,
146,롯데정밀화학,"53,900",0,0.00%,"5,000","13,906","25,800",23.68,0,7.11,11.73,
147,영진약품,"7,560",0,0.00%,500,"13,827","182,893",4.98,0,581.54,4.43,
148,일양약품,"72,000",0,0.00%,"2,500","13,742","19,086",7.90,0,148.15,5.20,
149,한화생명,"1,570",0,0.00%,"5,000","13,636","868,530",7.52,0,8.09,0.51,
150,HDC현대산업개발,"20,400",0,0.00%,"5,000","13,445","65,907",8.51,0,2.89,20.30,
151,현대오토에버,"62,900",0,0.00%,500,"13,209","21,000",1.21,0,22.96,11.71,
152,한화에어로스페이스,"26,000",0,0.00%,"5,000","13,164","50,630",16.18,0,12.29,5.45,
153,진원생명과학,"28,600",0,0.00%,"1,000","12,796","44,740",11.02,0,-97.61,-28.50,
154,영원무역,"28,600",0,0.00%,500,"12,673","44,311",22.81,0,9.00,9.82,
155,한전KPS,"27,850",0,0.00%,200,"12,532","45,000",12.96,0,7.89,14.98,
156,아이에스동서,"40,450",0,0.00%,500,"12,496","30,893",5.27,0,21.39,6.10,
157,메리츠금융지주,"9,290",0,0.00%,500,"12,450","134,011",7.96,0,3.08,15.26,
158,더블유게임즈,"67,600",0,0.00%,500,"12,421","18,375",16.23,0,11.77,18.93,
159,대우건설,"2,985",0,0.00%,"5,000","12,406","415,623",9.42,0,6.75,8.80,
160,코스맥스,"122,500",0,0.00%,500,"12,311","10,050",26.28,0,31.93,10.45,
161,KODEX 인버스,"5,435",0,0.00%,0,"12,077","222,200",1.50,0,N/A,N/A,
162,TIGER 단기통안채,"100,700",0,0.00%,0,"11,958","11,875",5.76,0,N/A,N/A,
163,대웅제약,"102,000",0,0.00%,"2,500","11,818","11,587",4.65,0,-476.64,4.34,
164,한화시스템,"10,700",0,0.00%,"5,000","11,795","110,230",1.67,0,15.16,8.15,
